IP,DBM,RSSI
192.168.1.121,-70,25
192.168.1.122,-57,38
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-36,59
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-71,24
192.168.1.122,-42,53
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-73,22
192.168.1.122,-48,47
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
192.168.1.121,-70,25
192.168.1.122,-56,39
